,translation
6698,"{'en': 'One more thing about the ""limbo"" world is that eventually people forget that the world they are in is not real.', 'hi_en': '""limbo"" world ke baare mein ek aur cheez hai ki eventually log bhool jaate hain ki jis duniye mein wo hain wo real nahi hai.'}"
6699,"{'en': ""So they can't distinguish between a dream and what is real."", 'hi_en': 'To wo dream aur real ke beech mein distinguish nahi kar sakte.'}"
6700,"{'en': 'Even when they ""wake up"" in a dream, they are still in the dream even if they don\'t realize it.', 'hi_en': 'Even agar woh dream mein ""wake up"" bhi ho jaate hain to bhi  wo dream mein hi hote hain even if they don\'t realize it.'}"
6701,"{'en': 'Seems like a really interesting concept', 'hi_en': 'really interesting concept  lagta hai'}"
6702,"{'en': 'Im getting interested in the movie', 'hi_en': 'Main movie mein interested ho raha hun'}"
6703,"{'en': 'so far the plot seems great and the cast seems pretty good as well', 'hi_en': 'ab tak to plot seems great aur cast bhi kaafi acchi lag rahi hai'}"
6704,"{'en': 'also the director', 'hi_en': 'director bhi'}"
6705,"{'en': ""Yeah it's a pretty quality movie"", 'hi_en': 'Yeah woh kaafi acchi quality ki movie hai'}"
6706,"{'en': 'I can tell you more about the plot if you want?', 'hi_en': 'Agar tum chaho to mein plot ke baare mein aur bata sakta hun ?'}"
6707,"{'en': 'Yeah, that would be great', 'hi_en': 'Woh great hoga'}"
6708,"{'en': 'tell me more about it', 'hi_en': 'Is ka baremein aur batayiye'}"
6709,"{'en': 'So there are things called totems', 'hi_en': 'To totem nam ka cheesen hote hai'}"
6710,"{'en': 'They basically are an object that reminds someone that they are dreaming', 'hi_en': 'Yeh basically ek object hota hai jo jis ka sapna dekh rahe hai us ko remind karta hai'}"
6711,"{'en': 'something that roots them to the real world', 'hi_en': 'Aisa cheez jo real world mein le jaye'}"
6712,"{'en': 'Interesting, I think I will give the movie a chance and watch it, It seems worth my while.', 'hi_en': 'Yeh to interesting hai, mujhe lagta hai ki mein ye movie dekhoonga, yeh mere time ke liye worth hai'}"
6713,"{'en': 'Have you ever seen How to Train Your Dragon?', 'hi_en': 'Tumne kabhi tumhare dragon ko kaise train karna deka he?'}"
6714,"{'en': 'Yes, I have it is a lovely movie', 'hi_en': 'Ha,mere pas he wo lovely movie hai'}"
6715,"{'en': 'It is an animation/fantasty movie that came out in 2010. ', 'hi_en': 'Wo animation/fantasty movie he jo do hajar dus me aayi thi'}"
6716,"{'en': 'Yes it is , actually a movie I really enjoy. ', 'hi_en': 'haan yeh aise hi hey, actually  movie tho bahut enjoy kiya'}"
6717,"{'en': 'Which character do you like best?', 'hi_en': 'konsa character best hein yar'}"
6718,"{'en': 'It is animation that is voiced by Jay Baruchel (Hiccup Horrendous Haddock III) and  Gerard Butler ( Stoick the Vast),', 'hi_en': 'yeh tho animation ka hein, iska voiced tho Jay Baruchel (yaani Hiccup Horrendous Haddock III) aur Gerad Butler (stoick the vast) ne deya'}"
6719,"{'en': 'The movie has everything, from 3D computer-animation, to action-fantasty', 'hi_en': 'Movie tho sab 3D computer- animation ka hein'}"
6720,"{'en': 'It is a DreamWorks Animation that was distributed by Paramount Pictures', 'hi_en': 'yeh tho Dreamworks ka animation ka hein uska distributed tho paramount pictures hein'}"
6721,"{'en': 'Did you know that the movie was actually loosely based on a British book series?', 'hi_en': 'kya aap ko is movie British book ka series nahi laga'}"
6722,"{'en': 'Yes', 'hi_en': 'haan'}"
6723,"{'en': 'and alot different that the actual books', 'hi_en': 'kaafi different actual book bhi hein'}"
6724,"{'en': 'the books are more comedy ', 'hi_en': 'is book tho badi comedy hein'}"
6725,"{'en': 'intersting, I did not know that.', 'hi_en': 'interesting hey tho muje nahi patha'}"
6726,"{'en': 'Did you like the interactions with the characters?', 'hi_en': 'tumhe characters k sath interaction acche lage?'}"
6727,"{'en': 'Oh yes, very much', 'hi_en': 'Oh haan, kafi'}"
6728,"{'en': 'which character do you like the most?', 'hi_en': 'Tumhe kaunsa character sabse jyada pasand aaya?'}"
6729,"{'en': 'The movie is based at the Isle of Berk in a remote Viking village where there of often Dragons stealing livestock and causing toruble  ', 'hi_en': 'Ye movie Isle of Berk me ek remote viking village jaha bahut time Dragon livestock churate hai aur pareshan karte hai, ke upar based hai'}"
6730,"{'en': 'I like Astrid and Gobber', 'hi_en': 'Mujhe Astrid aur Gobber pasand aaye.'}"
6731,"{'en': 'Toothless is my favorite dragon', 'hi_en': 'Toothless mera favorite dragon hai'}"
6732,"{'en': ""Toothless is a great character. Hiccup was supposed to kill him in the beginning but couldn't bring himself to do it and instead sets him free"", 'hi_en': 'Toothless ek great character hai. Hiccup asal me use maarne wala tha but mar nahi paya aur use free kar diya'}"
6733,"{'en': 'He gradually tames the dragon and calls him toothless because of his retractable teech', 'hi_en': 'Wo gradually dragon ko tame karta hai aur use toothless bulata hai kyuki uske retractable teeth hai'}"
6734,"{'en': 'It was becuase of toothless that Hiccup learned how to tame other dragons', 'hi_en': 'Toothless ki wajah se Hiccup baki dragons ko bhi tame karna seekh gaya'}"
6735,"{'en': 'Do you think Hiccup cheats because of what he learns from Toothless ? (by using it his training class?)', 'hi_en': 'Kya tumhe lagta hai hiccup cheat karta jo bhi toothless se seekha? ( apni training class me wo chez use karke?)'}"
6736,"{'en': ""He become proficient in subduing the captive dragons, i don't know how much you can call that cheating"", 'hi_en': 'wo captive dragons ko vas karne me kushal ho gaya, uko aap cheating kaise keh sakte hai?'}"
6737,"{'en': ""But he wouldn't have known that without having Toothless. "", 'hi_en': 'Lekin wo ye Toothless ke bina nahi jan pata.'}"
6738,"{'en': 'so maybe just an advantage not cheating ', 'hi_en': 'to sayad wo advantage ho cheating nahi'}"
6739,"{'en': 'How do you feel about how Stoick treats Hiccup?', 'hi_en': 'Aapko kya lag raha he ki stoick Hiccup ke sath kya kar raha hai?'}"
6740,"{'en': 'Stoick leaving Hiccup, but then arriving home unscucessful and finding how Hiccup had trained the dragons led to a celebration', 'hi_en': 'stoick Hiccup ko chhod raha hai, lekin phir ghar mein becheni se pahuncha aur paaya ki Hiccup ne dragons ko kis tarah prashikshit kiya tha'}"
6741,"{'en': 'i mean throughout the whole movie. he was rather harsh to him in the beginning', 'hi_en': 'Mera matalab hai puri movie ke dauran. vah suruat mein usake prati kathor nahin tha'}"
6742,"{'en': ""Stoick uses Hiccup when Hiccups accidently reveals that Toothless can locate the dragon's nest. Stoick disowns his son"", 'hi_en': 'Stoick Hiccup ka upayog karata hai jab Hiccups ko akasmik rup se pata chalata hai ki Toothless Dragon ke ghosle ka pata laga sakata hai. Stoick ne apane bete ko nanga kar diya'}"
6743,"{'en': 'That to me is very harsh', 'hi_en': 'Mere liye yah bahut harsh hai'}"
6744,"{'en': 'However, when Hiccup almost drowns trying to free toothless, Stoick saves them both, reconciling with his son', 'hi_en': 'halaki, jab Hiccup lagabhag toothless ko chhudane ki koshish mein doob jata hai, to stoick apane bete ke saath un dono ko bacha leta hai'}"
6745,"{'en': 'Did you like the ending? how they make Hiccup and Toothless basically equal? (both missing something vital?)', 'hi_en': 'kya aapako ending pasand aaya? ve Hiccup aur Toothless ko mul rup se samaan kaise banate hain? (donon me kuchh vital yaad aa rahee hai?)'}"
6746,"{'en': 'How do you feel about the rotten tomatoes 98% score?', 'hi_en': 'kya rotten tomatoes ka score 98% sahi hei kya?'}"
6747,"{'en': 'Yes, when Hiccup wakes up on Berk, his lower left leg is missing and he is using a prothesis, so he and toothless are the same', 'hi_en': 'haan, jab Hiccup, Berk ke paas wakeup kiya tho uska Lower left leg miss hota aur usse prothesis ho jatha, tho uska daad bhi nahi rehatha.'}"
6748,"{'en': 'I thought a 98% was a good score on rotton tomatoes', 'hi_en': 'mein tho 98% laga, aur uska score tho kaafi ache hein rotten tomatoes ka'}"
6749,"{'en': 'Hello!', 'hi_en': 'Hello!'}"
6750,"{'en': 'Hello there, how are you today?', 'hi_en': 'Hello there, aaj aap kaise ho?'}"
6751,"{'en': ""I'm pretty good. Seems like you have the document this time. Do you have a movie you'd like to talk about?"", 'hi_en': 'main bilkul theek hoon. Lagta hai is baar aap ke pass document  hai. kya aap ke pass koi movie hai jiske baare main aap baat karna chahenge?'}"
6752,"{'en': 'So the movie is How to Train Your Dragon, have you seen this before?', 'hi_en': 'toh movie hai  How to Train Your Dragon,kya aap ne pehle dekhi hai'}"
6753,"{'en': ""I haven't but I've heard good things about it!"", 'hi_en': ""I haven't lekin maine achi baatein suni hai iske baare mein""}"
6754,"{'en': ""What's it about?"", 'hi_en': 'kiske baare mein hai?'}"
6755,"{'en': 'Well let see, It came out in 2010 and was produced by Dreamworks, it is a fully animated show.', 'hi_en': 'well dekhte hai, ye 2010 mein nikli aur Dreamworks ki produced hain. ye bilkul animated show hai'}"
6756,"{'en': 'Dreamworks huh? I do enjoy a lot of their movies. I assume from the title that it has something to do with dragons?', 'hi_en': 'Dreamworks huh? main unke bahut movies enjoy karta hoon. I assume from the title ke iska dragons se kuch lena hai'}"
6757,"{'en': 'It is set back in the Viking Days, and it has a teenage character named Hiccup, who finds a wounded dragon and befiends it.', 'hi_en': 'ye  Viking Days mein set hai, aur isme ek teenage character  ka naam Hiccup hai,jisko zakhmi dragon milta hai aur dosti karta hai'}"
6758,"{'en': 'befriends', 'hi_en': 'hum dosthen hei'}"
6759,"{'en': 'Oh the old boy and his dog story but with a dragon huh? That sounds pretty interesting. Was it received pretty well?', 'hi_en': 'acha tho old boy aur uska dog ka story ya uska dragon ka? yeh tho badi interesting hein, kya yeh pretty hein kya?'}"
6760,"{'en': 'The movie is a bit unique as it uses 3D animation , its a coming of age comedy, the same producers of Lilo and Stitch created it.', 'hi_en': 'is movie tho 3D animation ka hein aur voh unique se hei. yeh age comedy ka aur same producers yaani Lilo aur stitch ka created hey'}"
6761,"{'en': 'It seemed to do ok it got a 98% on rotten tomatoes, but an A in Cinema score', 'hi_en': 'acha tho 98% Rotten tomatoes neh deya tha lekin yeh tho A nikla'}"
6762,"{'en': 'I see! That sounds pretty good then.  You said it was animated but do you know who provides the voices?', 'hi_en': 'acha! tho yeh kaafi acha rahega. aap animated bole lekin kon uska voice deya?'}"
6763,"{'en': 'Actually some well known names come to mind, like hiccup is played by Jay Baruchel. And Gerard Butler as the chief Viking, America Ferrera plays a friend of Hiccup. Hiccup is the main character of course.', 'hi_en': 'actually kuch jaan pehechan ka naam mera mind mei aa raha hei yaani hiccup ka role tho Jay baruchel ne kiya aur gerard butler ka role chief viking aur america ferrere ka role tho hiccup ka friend ne kiya actually Hiccup tho main character hein'}"
6764,"{'en': ""That's really cool. I'm sure they do a great job. I really like animated movies so I might have to check that one out sometime."", 'hi_en': 'oh tho acha rehega. muje animated movies dekhna pasand hein mein kuch movies aisa dekha hoon'}"
6765,"{'en': 'I have actually seen it and I would recommend it', 'hi_en': 'mein tho dekh chuka hoon aur mein is movie ko recommend karunga'}"
6766,"{'en': 'You mentioned that he befriends a dragon. Can you tell me anything more about that?', 'hi_en': 'jaise aap kahe vaise uska friend hi dragon hein, kya aur kuch uska baare mein aap batha sakthe ho?'}"
6767,"{'en': ""Sure, the Dragons name is Night fury. And the movie doesn't have much of a storyline, but it has battles between tamed and evil ones."", 'hi_en': 'jarur, Dragon ka naam hein Night fury, aur us movie mein kafi storyline nahi hein lakin uska tamed aur evil one ka battles chal raha hein.'}"
6768,"{'en': 'Do youlike dragons?', 'hi_en': 'kya tumhe dragons pasand hai?'}"
6769,"{'en': 'I see, that sounds pretty interesting though. I do! Dragons are usually the bad guys in a film so it might be cool to get a film with a good one', 'hi_en': 'I see, kaafi interesting sound karta hai. Mujhe pasand hai. Dragons usually bad guys rahte hai movies me to kisi film agar wo acche hai to kaafi cool baat hai'}"
6770,"{'en': 'And vikings as well. It sounds like a very unique setting.', 'hi_en': 'Aur vikings bhi hai. Kaafi unique setting hai'}"
6771,"{'en': 'YES, The isle of Berk is their village, and they are afraid of the dragons because they steal their livestock, so when they come upon the dragons they usually kill them.', 'hi_en': 'Haan, isle of Berk unka village hai aur wo dragons se darte hai kyuki wo unke livestock chura lete hai, to jab wo aate hai usually unko maar dete hai.'}"
6772,"{'en': 'Oh no! But I guess Hiccup finds out that not all dragons are bad in the end?', 'hi_en': 'Oh nahi! But I guess Hiccup ko pata chalega sab dragons bure nahi hote.'}"
6773,"{'en': 'See Hiccup is scrawny and cant fight because he is scrawny, so he makes things, apparatuses if you will.', 'hi_en': 'See Hiccup bahut scrawny hai aur isliye fight nahi kar sakta, to wo cheeze banata hai, apparatus bol sakte ho'}"
6774,"{'en': 'but he isnt very good at it', 'hi_en': 'but wo bahut accha nahi hai isme'}"
6775,"{'en': 'I see, an awkward kid makes a friend of a dragon huh? That does sound very interesting.', 'hi_en': 'I see , ek awkward kid dragon ko dost bana leta hai. sahi me interesting sound karta hai'}"
6776,"{'en': 'I usually like animated films that have a good main character so this might be right up my alley.', 'hi_en': 'Mujhe usually animated movies jisme accha main character ho pasand aati hai, to bilkul mere type ki movie hai'}"
6777,"{'en': 'SO during one of those attacks Hiccup shoots at a dragon, and believes he has shot it down. Finds it later, not dead, but damaged. Helpes the dragon fly again then finds out that thedragonsare being Bullied by a bigger one.', 'hi_en': 'To aise hi attacks k duaran Hiccup ek dragon ko shoot karta hai aur maanta hai k usne maar diya. Baad me pata chalta hai k maara nahi but damage kiya hai. Wo us dragon ko wapas udne me help karta hai aur pata lagata hai k sabhi dragons ko ek bada dragon bully kar raha hai.'}"
6778,"{'en': 'I see! I bet he works together with his new dragon friend to help them out then.', 'hi_en': 'I see! Mai sart lagata hu, ki  wo apne naye gragon mitra ko madad karne ke liye, milkar kam karenge.'}"
6779,"{'en': 'So Hiccup and his friends decide they are going to help out Hiccups friendly Dragon and they all learn how to train awkward dragons and go off to fight the biggest Dragon which they call Red Death.', 'hi_en': 'Isliye Hiccup aur uske friends ne decide kiya ki wo biggest Dragon ki jisko Red Death kaha jata hai unse ladai ke liye, wo Hiccups friendly Dragon ko madad karenge aur wo log sikhenge ki awkward dragons ko kaise train kiya jaye.'}"
6780,"{'en': 'That does sound cool!', 'hi_en': 'wo cool sunai padta hai!'}"
6781,"{'en': ""And it looks like we're done"", 'hi_en': 'aur wo pura kiya dikh raha hai'}"
6782,"{'en': ""It's been nice talking with you!"", 'hi_en': 'Apke sath bath karna achha laga'}"
6783,"{'en': 'Have a good day.', 'hi_en': 'Apka din subh rahe'}"
6784,"{'en': ""I really like the movie and how it covers the view from a villain's perspective."", 'hi_en': ""Mujhe movie really pasand aayi aur kis tarah se isme villain's perspective ke view ko cover kiya""}"
6785,"{'en': 'I agree. I also liked the movie and really enjoyed that it was a family film.', 'hi_en': 'I agree. Mujhe bhi movie pasand aayi aur maine really enjoyed kiya ki ye ek family film thi.'}"
6786,"{'en': 'The Minions provide an extra dose of humor too', 'hi_en': 'The minions ne humor ko extra dose provide kiya.'}"
6787,"{'en': 'Yes, they are a favorite among many people.', 'hi_en': 'yes, ve bahut se logo me favorite hai.'}"
6788,"{'en': 'Do you like animated films?', 'hi_en': 'kya tumhe animated films pasand hai?'}"
6789,"{'en': 'Yes I do, especially since I have kids', 'hi_en': 'Han mujhe bhi, especially jab se mujhe kids hai tab se'}"
6790,"{'en': 'Do you have kids?', 'hi_en': 'kya tumhe kids hai?'}"
6791,"{'en': 'I do, I did not realize that this was a debut film.  I assumed it was one of the more familiar animation company films.', 'hi_en': 'Han hai, Mujhe ye nahi laga ki ye debut film hai. Main maan raha tha ki ye ek jyada familiar animation company ki film hai.'}"
6792,"{'en': 'Yes, it was the first film in the franchise from a few years ago', 'hi_en': 'han, ye film ki first franchise thi kuch years pehle'}"
6793,"{'en': 'Is there going to be a new paragraph showing up?', 'hi_en': 'kya ek naya paragraph show hone wala hai?'}"
6794,"{'en': 'Nevermind, there it is', 'hi_en': 'Nevermind, ye yahan hai'}"
6795,"{'en': ""It's funny to see a movie where two villians are against each other rather than a hero and a villian"", 'hi_en': 'Aisi movie dekhna kafi funny hai jahan do villain ek dusre ke khilaf hain na ki hero aur villain'}"
6796,"{'en': 'I agree', 'hi_en': 'Main agree karta hun'}"
6797,"{'en': 'It makes it almost more enjoyable since it is a new spin', 'hi_en': 'ye isey almost zyada enjoyable bana deti hai kyunki ye ek naya spin hai'}"
6798,"{'en': 'It got pretty good reviews too', 'hi_en': 'iske reviews bhi kafi ache hain'}"
6799,"{'en': 'Exactly.  ', 'hi_en': 'Exactly'}"
6800,"{'en': ""The actor's performances and the minions contributed to the reviews greatly. "", 'hi_en': 'actors ki performances aur minions ne reviews mein greatly contribute kiya.'}"
6801,"{'en': 'A cast that everyone grew to love.', 'hi_en': 'Ek aisi cast jisko sab love karne lag gaye.'}"
6802,"{'en': ""Yes, I didn't realize Russell Brand was in it"", 'hi_en': 'haan, muje ab bhi relaize nahi hota ki russell brand in mein hein'}"
6803,"{'en': 'And I am not sure these directors have done anything else noteworthy?', 'hi_en': 'haan mein bhi sure nahi is directors se'}"
6804,"{'en': 'Other than this movie series, I do not believe so.', 'hi_en': 'movies ke alava mein kuch maantha hi nahi'}"
6805,"{'en': 'Well I always have loved Steve Carell', 'hi_en': 'tho muje steve carell bahut pasand hein'}"
6806,"{'en': 'yes, he is a funny actor', 'hi_en': 'haan, voh funny actor hein'}"
6807,"{'en': ""Although the future Minions movie wasn't as good"", 'hi_en': 'future minions movies tho itna bhi acha nahi hein'}"
6808,"{'en': ""I have not seen that yet.  I remember the scene where Gru couldn't decide whether to go to the recital or steal the moon."", 'hi_en': 'mein nahi dekha hoon.. lekin kuch scene yaad hein jaha gru ko nahi samaj aa rahi thi ki voh kaya jaaye yadi recital ya moon ko steal kare'}"
6809,"{'en': 'And he made the right decision at the end', 'hi_en': 'haan end mein voh right decision le liya'}"
6810,"{'en': 'It really made you feel good about the character', 'hi_en': 'vaakahi mein uska character ache hein'}"
6811,"{'en': 'Right, even villians have a good side', 'hi_en': 'haan. saari villians ko yek side ache hi hote'}"
6812,"{'en': 'My son thought the moon expanding with the ship was so funny', 'hi_en': 'mera beta ko laga ki us ship se vo moon bhi expand ho raha hein.. kitna funny hein yar'}"
6813,"{'en': 'He kept saying that the shrinking would wear off ', 'hi_en': 'voh bol raha tha ki are voh tho shrink ho ja raha hein'}"
6814,"{'en': 'He then thought Gru should try to help Vector off the moon ', 'hi_en': 'fir usne socha ki gru ko vector par try karna chahiye us moon ko off karne pe'}"
6815,"{'en': 'Yea. Now I want to see the movie again!', 'hi_en': 'haan... ab vaakahi mein muje is movie ko dekha chahiye'}"
6816,"{'en': 'Me too.  Watch it with my son again after all these years', 'hi_en': 'muje bhi... mein tho apne bethe ke saath hi dekhunga'}"
6817,"{'en': ""see if he still gets a kick out of the movie since he's a teenager now"", 'hi_en': 'dekhlo. agar voh movie se kickout bhi maar saktha, kyon ki voh ab bhi teenager hi hey'}"
6818,"{'en': 'Yea The girls are great in it too', 'hi_en': 'haan.. girls tho great hei'}"
6819,"{'en': 'so all genders should enjoy it!', 'hi_en': 'sabhi genders enjoy karenge yar'}"
6820,"{'en': 'Hey! Have you ever seen The Social Network?', 'hi_en': 'hey! kya The social network dekha?'}"
6821,"{'en': 'I have not, but I know it was filmed in 2010.', 'hi_en': 'nahi yar. lekin muje patha hein ki voh 2010 mien filmed huva'}"
6822,"{'en': 'Have you seen it?', 'hi_en': 'aap dekha?'}"
6823,"{'en': 'I personally enjoyed it. It tells the story of the founding of Facebook. Do you like movies based on reality?', 'hi_en': 'mein personally enjoy kiya.. facebook ka story hein yar.. reality based movie dekhna pasand hein?'}"
6824,"{'en': 'I do. I also like Jesse Eisenberg and Justin Timberlake. The movie got good reviews, so maybe I will watch it.', 'hi_en': 'muje bhi.. muje jesse eisenberg aur justin timberlake pasand hein. yeh movie ache reviews nikli, maybe mein watch jarur karunga'}"
6825,"{'en': ""I really would recommend it myself. It was extremely good. Jesse Eisenberg plays Zuckerburg in such an intense way. It's a great film."", 'hi_en': 'tho mein jarur recommend karunga.. yeh ache hein.. kya jesse eisenberg yaani zuckerburg ka role play intense se kiya.. voh tho badiya film hein'}"
6826,"{'en': 'Did you read the book the movie was based on? The Accidental Billionaires?', 'hi_en': 'kya aap us book ko read kiya jo yeh movie? the accidental billionaires?'}"
6827,"{'en': ""I just learned it was based on the book today. I'm definitely going to have to read it. "", 'hi_en': 'mein kuch learn kiya hein us book se aaj.. mein definitely padunga'}"
6828,"{'en': ""Apparently, the biographical part of the movie isn't exactly true to life, since the movie was based on the book. Mark Zuckerberg had no part in contributing to the movie."", 'hi_en': 'acha tho biographical part tho is movie mein jarur sach kaha hoga.. kyon ki is movie tho book ka based hein.. mark zuckerberg tho koi contribute nahi deya hoga'}"
6829,"{'en': 'That is certainly interesting to know. I always wondered about it myself. Apparently, Saverin was the only consultant with any true to life information.', 'hi_en': 'Ye janna jarur interesting hai. Main hamesha is bare me sochta tha. Apparently, Saverin akela consultant tha jiske paas koi true to life information thi.'}"
6830,"{'en': 'Was it weird to see Armie Hammer play two people?', 'hi_en': 'Kya Armie Hammer ko do log play karte hue dekhna weird tha?'}"
6831,"{'en': 'It was! To be honest with you they did such a good job that I had a hard time realizing they were both Armie Hammer. He is an amazing actor. I also think Facesmash is a hilarious startup name.', 'hi_en': 'Wo tha! To be honest unhone itna accha kaam kiya ke mujhe realize nahi hua dono Armie Hammer the. Wo ek amazing actor hai. Main ye bhi sochta hu k Facesmash ek hilarious startup name hai'}"
6832,"{'en': 'It is! and what a crazy story... basically he got dumped and made millions off of trying to get even with her.', 'hi_en': 'Ye hai! Kya crazy story hai ..basically wo dumped hogaya aur usse badle lete huye millions kama liye'}"
6833,"{'en': 'How contentious of a person. Based off what you know of him would you have be friendly with him if you were in school with him at the time?', 'hi_en': 'Kinda contentious banda hai. Jitna tum abhi jaante ho, agar uske saath school me hote to kya uske sath friendly hote?'}"
6834,"{'en': ""Hmm... probably not. He doesn't seem to have good luck keeping friends. How ironic as he invented Facebook. Do you think you'd have been friends?"", 'hi_en': 'Hmm.. shayad nahi. Dost rakhne me to uska koi accha luck nahi hai. Kitna ironic hai k usne Facebook invent kiya. Tum kya sochte ho, kya uske dost hote?'}"
6835,"{'en': 'Absolutely not 1', 'hi_en': 'Bilkul nahi.'}"
6836,"{'en': 'I thought it was ironic as well. I couldnt believe it. ', 'hi_en': 'Maine bhi socha tha k ye ironic hai. Mujhe to believe nahi hua'}"
6837,"{'en': 'The scene where Christy Lee says Facebook me is kinda funny, too. It certainly beats facesmash me.', 'hi_en': 'Wo scene jaha Christy Lee bolti hai Facebook me funny type ka hai. Certainly facesmash me bolne se to accha hai.'}"
6838,"{'en': 'Agreed. It makes sense, but I had no idea how much help Zuckerberg had along the way... Especially from one of the founders of Napster!', 'hi_en': 'Agreed. Iska sense to banta hai but mujhe koi idea nahi tha ki Zuckerberg ko raaste me kitni help mili hai, especially Napster k ek founder se.'}"
6839,"{'en': ""Justin Timberlake plays him so well too. I never knew about it either, but keep in mind it's based off the book. Who knows how much he actually was involved."", 'hi_en': 'Justin Timberlake ne use bahut acha play kiya hai. Mujhe bhi is baare me kuch nahi pata tha, lekin ye dhyan me rakho k ye book pe based hai. Kise pata wo actually kitna involved tha.'}"
6840,"{'en': 'That is true. I wonder if Mark Zuckerberg actually invited Sean Parker to live at Facebook headquarters!', 'hi_en': 'Ye to sahi hai. Main is soch me hu ki kya Mark Zuckerberg ne Sean Parker ko actually Facebook ke headquarters me rehne k liye bulaya tha!'}"
6841,"{'en': 'I love how he was doing it from a house. You know that much happened. If Sean Parker was there, who knows. I love how tech company start ups are out of houses. I wonder what the other continent was they were trying to expand to first.', 'hi_en': 'Unka ye sab ghar se karna mujhe pasand aaya. Tumhe pata hai kitna kuch hua. Agar Sean Parker waha rahta to, kise pata. I love kaise ye tech company start up ghar se chal rahi hai. I wonder wo kaunse dusre continent me pahle expand karna chahte the'}"
6842,"{'en': 'I think that it is pretty funny considering the success he gained... and ""Thefacebook""? First Facesmash, then Harvard Connection then Thefacebook... yikes!', 'hi_en': 'I think  uski success ko consider  karte hue Thefacebook kafi funny hai. Pahle Facesmash, phir Harvard Connection phir TheFacebook yikes!'}"
6843,"{'en': 'Thefacebook is just rotten. It seems like Zuckerberg really shafted everyone else in the situation.', 'hi_en': 'Thefacebook to bilkul bekaar hai. Aisa lagta hai Zuckerberg ne sahi me dusre logo ki leli'}"
6844,"{'en': ""It's kind of creepy how he just waited for Albright to accept the friend request, too."", 'hi_en': 'Uska Albright ka friend request accept karne tak wait karna kaafi creepy tha'}"
6845,"{'en': ""It's really sort of sad to me. He hasn't really changed from the beginning of the story."", 'hi_en': 'Mujhe to ye sad laga. Wo story ki beginning se jyada badla nahi.'}"
6846,"{'en': ""That's how I feel. I'm not surprised he had to do a settlement."", 'hi_en': 'Mujhe to aisa lagta hai. Main surprise nahi hu ke use settlement karna pada'}"
6847,"{'en': 'He founded the biggest social network the world has ever seen, but he seems like a person who people hate.', 'hi_en': 'Usne duniya ka sabse bada social network banaya but wo ek aisa aadmi lagta hai jise log hate karte hai'}"
6848,"{'en': ""Extremely misanthropic. I would agree. It's overall kind of sad."", 'hi_en': 'Bilkul misanthropic. Main to agree karta hu. Overall ye sad hai.'}"
6849,"{'en': ""At least he didn't use his intelligence for true evil."", 'hi_en': 'USNE  BURAEE KARNE KE LIYE DIMAAK KA UPAYOG NAHI KIYA'}"
6850,"{'en': 'are you still there?', 'hi_en': 'TUM ABHEE BHI VAHAAN HO'}"
6851,"{'en': ""It's been 10 minutes"", 'hi_en': '10 MINUTES HO GAYA'}"
6852,"{'en': 'Hello', 'hi_en': 'hello'}"
6853,"{'en': 'Hello', 'hi_en': 'hello'}"
6854,"{'en': 'Are familiar with the movie The notebook?', 'hi_en': 'Kya tum The Notebook movie se familiar ho?'}"
6855,"{'en': 'I have heard about it but have not seen it', 'hi_en': 'Main uske baare me suna hai but dekha nahi hai'}"
6856,"{'en': 'What is it about?', 'hi_en': 'Kis baare me hai ?'}"
6857,"{'en': 'Its a romance movie based on the 1996 novel with the same title by Nicholas Sparks', 'hi_en': 'Wo ek romance movie hai jo 1996 k same naam k novel k upar based hai jise Nicholas Sparks ne likha hai'}"
6858,"{'en': 'Who are some of the actors in the film?', 'hi_en': 'Us movie me kuch actors kaun hai?'}"
6859,"{'en': 'Ryan Gosling as the main actor and Rachel McAdams', 'hi_en': 'Ryan Gosling tho main actor hein aur Rachel Mcadams bhi'}"
6860,"{'en': ""Interesting. I'm a fan of his work, what are your thoughts on the movie?"", 'hi_en': 'interesting hein, mein tho uska work ka badi fan hoon. is movie ka aapka thoughts kya hein'}"
6861,"{'en': 'I actually cried when I first watch it. It is awesome. Got 52 percent in rotten tomatoes but I will give it a 100 ', 'hi_en': 'mein tho ro rahi thi jab mein pehele baar is movie ko dekha,. yeh tho awesome hein,. mein 52% rotten tomatoes ko devungi lekin mein 100 de diya'}"
6862,"{'en': 'Really? Would you say it resembles the book well?', 'hi_en': 'acha? kya book se yeh kaafi resembles karta?'}"
6863,"{'en': 'There are some changes but pretty much. I only care about the ending anyway. Ryan Gosling play as Noah in the movie, he is poor while Allie is from a rich family and she is engage with someone else but fell in love with Noah ', 'hi_en': 'isme tho kaafi changes hein jo muje pasand hein. mein end ka hi care kar raha tha, ryan gosling neh tho noah ka play ache kiya, voh poor hein lekin allie rich family ki thi uska engage dusra ke saath huva lekin voh noah ko pyar kar rahi thi'}"
6864,"{'en': 'Oh wow that seems really interesting. I will have to check it out for sure. Do you know if its available on netflix?  ', 'hi_en': 'acha tho kaafi mein yeh interesting rehega. mein kuch check kartha hoon, kya netflix mein hein?'}"
6865,"{'en': 'Hmm not sure. It was released year 2004 so it probably is', 'hi_en': 'muje patha nahi, yeh 2004 mein release huva hein'}"
